building_name,building_address,building_description,building_units_available,apt_type,apt_rent,apt_footage
Camden Roosevelt,"2101 16th St NW, Washington, DC","Luxury studios and apartments in a peaceful community across from Meridian Hill Park. Each apartment features intricate crown molding, hardwood floors and built-in bookshelves. Amenities include a sauna, 24-hour gym and wine room.",15 Units Available,2 Bedrooms,"$2,989",1041 sqft
RiverPoint,"2121 First Street SW, Washington, DC","Just south of the Navy Yard, at the tip of the new Buzzard Point neighborhood, an unprecedented waterscape awaits. This is the setting for modern apartment living on the city's most expansive waterfront.",160 Units Available,Studio,"$1,877",486 sqft
RiverPoint,"2121 First Street SW, Washington, DC","Just south of the Navy Yard, at the tip of the new Buzzard Point neighborhood, an unprecedented waterscape awaits. This is the setting for modern apartment living on the city's most expansive waterfront.",160 Units Available,1 Bedroom,"$2,037",782 sqft
RiverPoint,"2121 First Street SW, Washington, DC","Just south of the Navy Yard, at the tip of the new Buzzard Point neighborhood, an unprecedented waterscape awaits. This is the setting for modern apartment living on the city's most expansive waterfront.",160 Units Available,2 Bedrooms,"$3,375",1084 sqft
The Channel,"950 Maine Ave SW, Washington, DC","Enjoy waterfront urban living in the shadow of the federal buildings. Easy access to I-395 and Waterfront Metro station. Brand new apartments with walk-in closets and in-unit laundry. Coffee bar, yoga and bocce court.",38 Units Available,Studio,"$1,676",337 sqft
The Channel,"950 Maine Ave SW, Washington, DC","Enjoy waterfront urban living in the shadow of the federal buildings. Easy access to I-395 and Waterfront Metro station. Brand new apartments with walk-in closets and in-unit laundry. Coffee bar, yoga and bocce court.",38 Units Available,1 Bedroom,"$1,980",732 sqft
The Channel,"950 Maine Ave SW, Washington, DC","Enjoy waterfront urban living in the shadow of the federal buildings. Easy access to I-395 and Waterfront Metro station. Brand new apartments with walk-in closets and in-unit laundry. Coffee bar, yoga and bocce court.",38 Units Available,2 Bedrooms,"$3,025",1036 sqft
Novel South Capitol,"2 I Street Southeast, Washington, DC","Discover the next chapter in apartment living at Novel South Capitol. Nestled uniquely between Capitol Hill, Southwest and The Yards, Novel puts you at the center of it all.",109 Units Available,Studio,"$1,800",551 sqft
Novel South Capitol,"2 I Street Southeast, Washington, DC","Discover the next chapter in apartment living at Novel South Capitol. Nestled uniquely between Capitol Hill, Southwest and The Yards, Novel puts you at the center of it all.",109 Units Available,1 Bedroom,"$2,190",746 sqft
Novel South Capitol,"2 I Street Southeast, Washington, DC","Discover the next chapter in apartment living at Novel South Capitol. Nestled uniquely between Capitol Hill, Southwest and The Yards, Novel puts you at the center of it all.",109 Units Available,2 Bedrooms,"$2,631",1015 sqft
1331,"1331 Maryland Avenue Southwest, Washington, DC","Designed by Robert A.M. Stern Architects, one of the nation's premier firms, 1331 represents a new benchmark in residential communities.",171 Units Available,Studio,Ask,NA
1331,"1331 Maryland Avenue Southwest, Washington, DC","Designed by Robert A.M. Stern Architects, one of the nation's premier firms, 1331 represents a new benchmark in residential communities.",171 Units Available,1 Bedroom,"$2,099",749 sqft
1331,"1331 Maryland Avenue Southwest, Washington, DC","Designed by Robert A.M. Stern Architects, one of the nation's premier firms, 1331 represents a new benchmark in residential communities.",171 Units Available,2 Bedrooms,"$3,566",1320 sqft
Senate Square,"201 I St NE, Washington, DC","Close to Union Station and Capitol Hill. Upscale apartment community boasting spectacular city views. Apartments feature modern kitchens with granite countertops and stainless steel appliances, and luxury bedrooms with large windows and oversized closets.",29 Units Available,Studio,"$2,188",680 sqft
Senate Square,"201 I St NE, Washington, DC","Close to Union Station and Capitol Hill. Upscale apartment community boasting spectacular city views. Apartments feature modern kitchens with granite countertops and stainless steel appliances, and luxury bedrooms with large windows and oversized closets.",29 Units Available,1 Bedroom,"$2,104",974 sqft
Senate Square,"201 I St NE, Washington, DC","Close to Union Station and Capitol Hill. Upscale apartment community boasting spectacular city views. Apartments feature modern kitchens with granite countertops and stainless steel appliances, and luxury bedrooms with large windows and oversized closets.",29 Units Available,2 Bedrooms,"$3,385",1377 sqft
The Kelvin,"1250 Half Street Southeast, Washington, DC",The Kelvin is the newest vantage point in the Capitol Riverfront.,148 Units Available,Studio,"$1,775",474 sqft
The Kelvin,"1250 Half Street Southeast, Washington, DC",The Kelvin is the newest vantage point in the Capitol Riverfront.,148 Units Available,1 Bedroom,"$2,085",622 sqft
The Kelvin,"1250 Half Street Southeast, Washington, DC",The Kelvin is the newest vantage point in the Capitol Riverfront.,148 Units Available,2 Bedrooms,"$2,770",999 sqft
Flats 130 At Constitution Square,"130 M St NE, Washington, DC","Gleaming high-rise in hip NoMa neighborhood. Light-filled, contemporary apartments offer custom cabinets, stainless steel appliances and granite counters. Property features interior courtyard with fire pits and BBQs, 24-hour gym and dog park. Close to Metro.",65 Units Available,Studio,"$1,711",573 sqft
Flats 130 At Constitution Square,"130 M St NE, Washington, DC","Gleaming high-rise in hip NoMa neighborhood. Light-filled, contemporary apartments offer custom cabinets, stainless steel appliances and granite counters. Property features interior courtyard with fire pits and BBQs, 24-hour gym and dog park. Close to Metro.",65 Units Available,1 Bedroom,"$1,837",743 sqft
Flats 130 At Constitution Square,"130 M St NE, Washington, DC","Gleaming high-rise in hip NoMa neighborhood. Light-filled, contemporary apartments offer custom cabinets, stainless steel appliances and granite counters. Property features interior courtyard with fire pits and BBQs, 24-hour gym and dog park. Close to Metro.",65 Units Available,2 Bedrooms,"$2,583",1122 sqft
Resa,"22 M Street Northeast, Washington, DC","At RESA, living centers around the Swedish concept of lagom: creating a life that is just right. A glass of wine with friends, cooking with loved ones, reading by the fire, or lounging on the terrace watching the sunset.",96 Units Available,Studio,"$1,608",469 sqft
Resa,"22 M Street Northeast, Washington, DC","At RESA, living centers around the Swedish concept of lagom: creating a life that is just right. A glass of wine with friends, cooking with loved ones, reading by the fire, or lounging on the terrace watching the sunset.",96 Units Available,1 Bedroom,"$1,949",697 sqft
Resa,"22 M Street Northeast, Washington, DC","At RESA, living centers around the Swedish concept of lagom: creating a life that is just right. A glass of wine with friends, cooking with loved ones, reading by the fire, or lounging on the terrace watching the sunset.",96 Units Available,2 Bedrooms,"$3,287",1076 sqft
The Batley,"1270 4th Street Northeast, Washington, DC","Located in the heart of Union Market, The Batley is revolutionizing modern city living. Step into a studio, one, or two-bedroom apartment perfect for those who enjoy their living quarters with a bit more flair.",108 Units Available,Studio,"$1,730",476 sqft
The Batley,"1270 4th Street Northeast, Washington, DC","Located in the heart of Union Market, The Batley is revolutionizing modern city living. Step into a studio, one, or two-bedroom apartment perfect for those who enjoy their living quarters with a bit more flair.",108 Units Available,1 Bedroom,"$1,970",655 sqft
The Batley,"1270 4th Street Northeast, Washington, DC","Located in the heart of Union Market, The Batley is revolutionizing modern city living. Step into a studio, one, or two-bedroom apartment perfect for those who enjoy their living quarters with a bit more flair.",108 Units Available,2 Bedrooms,"$2,799",1036 sqft
Crossing DC,"949 First Street SE, Washington, DC","At CROSSING, we’ve designed a flawless setting that anticipates your every need so that you can live uninhibited.",87 Units Available,Studio,"$2,010",483 sqft
Crossing DC,"949 First Street SE, Washington, DC","At CROSSING, we’ve designed a flawless setting that anticipates your every need so that you can live uninhibited.",87 Units Available,1 Bedroom,"$2,090",725 sqft
Crossing DC,"949 First Street SE, Washington, DC","At CROSSING, we’ve designed a flawless setting that anticipates your every need so that you can live uninhibited.",87 Units Available,2 Bedrooms,"$3,585",1079 sqft
Corcoran House at Dupont Circle,"1616 18th St NW, Washington, DC","Spacious, airy apartments located near some of D.C.'s most exciting nightlife. Granite countertops, hardwood floors and stainless steel appliances. On-site parking and laundry. Pets welcome.",9 Units Available,Studio,"$1,633",453 sqft
Corcoran House at Dupont Circle,"1616 18th St NW, Washington, DC","Spacious, airy apartments located near some of D.C.'s most exciting nightlife. Granite countertops, hardwood floors and stainless steel appliances. On-site parking and laundry. Pets welcome.",9 Units Available,1 Bedroom,"$2,233",750 sqft
2501 Porter,"2501 Porter St NW, Washington, DC","1-2 bedroom apartments feature oversized French windows for ample natural light, stainless steel appliances in the kitchen and chic wooden flooring. Located close to Adams Morgan for impressive shopping and entertainment options.",13 Units Available,1 Bedroom,"$2,146",685 sqft
2501 Porter,"2501 Porter St NW, Washington, DC","1-2 bedroom apartments feature oversized French windows for ample natural light, stainless steel appliances in the kitchen and chic wooden flooring. Located close to Adams Morgan for impressive shopping and entertainment options.",13 Units Available,2 Bedrooms,"$2,557",989 sqft
Park Connecticut,"4411 Connecticut Ave NW, Washington, DC","Fuse urban living with the open spaces of Rock Creek Park, and what you get is the stunningly beautiful Park Connecticut Apartments. Close to the Van Ness Metro, you'll enjoy marble interiors and rooftop Jacuzzis.",13 Units Available,1 Bedroom,"$2,078",762 sqft
Park Connecticut,"4411 Connecticut Ave NW, Washington, DC","Fuse urban living with the open spaces of Rock Creek Park, and what you get is the stunningly beautiful Park Connecticut Apartments. Close to the Van Ness Metro, you'll enjoy marble interiors and rooftop Jacuzzis.",13 Units Available,2 Bedrooms,"$2,876",1182 sqft
Alban Towers,"3700 Massachusetts Ave NW, Washington, DC","Historic Georgetown neighborhood with restaurants, bars and cultural activities nearby. Pet-friendly building with concierge service, heated indoor pool, clubhouse and piano room. Luxury units with sunrooms, private balconies and on-site parking.",8 Units Available,Studio,Ask,NA
